,projectID,projectAcronym
7619,661122,TePaChe
7629,703379,Symbcompat
7634,690817,FourCmodelling
7645,705287,FOMN
7649,730398,Water2REturn
7667,790531,Host Sweet Home
7668,695744,CASTECON
7672,655278,GenoSpec
7727,848827,SQP
7732,694943,CORPLINK
7735,689031,DESTINATIONS
7767,770376,TROMPA
7776,641526,ELAASTIC
7781,637076,RoboExNovo
7798,658999,Modeling ERPs
7803,705944,THERMOSTALL
7804,695197,DYNAMOX
7806,639760,PEDAL
7807,674311,Cogem CPVTM
7810,638857,CHROMTISOL
7811,646737,DYNAMO
7812,714870,MMUSCLES
7813,751848,2D-COF-WS
7815,658391,NeutronOPV
7816,749461,DUST-GLASS
7819,647311,Sol-Pro
7822,716792,SOFT-PHOTOCONVERSION
7837,850151,Solar QUEST
7839,702694,BATH
7841,778357,SMARTELECTRODES
7850,655852,Quokka Maturation
7855,747221,POSITS
7856,788516,SEXinMALARIA
7857,766544,CTC-MAL
7858,725126,PlasmoCycle
7866,708056,SPARk
7868,725589,EPGR
7869,714408,GEOWAKI
7871,734439,INFERNET
7876,639888,REGENETHER
7880,749213,HELIOS
7881,842528,Robust
7882,658056,OSCAR
7903,705161,NanoArray
7904,669416,LUCKY STAR
7906,659211,[e-POM-Bioanal]
7907,796662,UVSIGNAL
7908,715980,MultiSense
7913,659337,NANOFI
7919,724705,FLUOSWITCH
7929,750523,ResQu
7934,708201,PIQUANT
7935,671133,EQUEMI
7936,705515,ICDSpec
7937,749380,UCYN2PLAST
7939,795580,SOCELL
7942,748354,NonnegativeRank
7944,824994,EMPOWER
7954,652978,LIAGAN
7956,709104,TACT
7957,708216,LIMAStruct
7960,775983,HYPERNETS
7969,740623,ADORA
7972,655938,ZEPHYROS
7973,789016,Nedd8Activate
7975,799399,ItohRibo
7977,804581,BrainNanoFlow
7982,739874,NoiseRobustEvo
7984,670823,BacCellEpi
7985,713755,AD-VIP
7986,765042,ViBrANT
8001,678790,NEWRON
8002,764785,FORA
8016,688971,IMAGE
8085,653188,GLASS
8102,674491,VATech
8120,694995,BIOSEC
8136,811248,CARBIDE2500
8138,724602,RECAP
8140,747458,MYSOBIO
8143,706198,Mapping Anna
8146,725269,BORDER
8150,659369,INTERMESTIC
8157,668640,Hyksos Enigma
8161,655723,OHPF
8162,648477,AnCon
8164,702772,TEXTUAL NETWORKS
8177,842429,LaunTeNaBio
